country;tests per 1M
USA;12431
Spain;19896
Italy;23985
France;7103
Germany;20629
UK;7886
Turkey;8459
Iran;4354
China;
Russia;14682
Belgium;14419
Brazil;1373
Canada;14995
Netherlands;10004
Switzerland;26293
Portugal;26672
India;291
Peru;4723
Ireland;22598
Sweden;9357
Austria;20987
Israel;27763
Saudi Arabia;14362
Japan;923
Chile;6401
S. Korea;11138
Ecuador;1892
Poland;5928
Pakistan;506
Romania;5279
Singapore;16203
Mexico;384
UAE;79875
Denmark;17358
Norway;26798
Indonesia;184
Czechia;16679
Serbia;5191
Belarus;11487
Australia;17216
Philippines;592
Qatar;23160
Ukraine;1418
Malaysia;3344
Dominican Republic;1565
Panama;4866
Finland;11154
Colombia;1281
Luxembourg;55852
Egypt;537
South Africa;2140
Bangladesh;180
Morocco;490
Argentina;810
Algeria;148
Thailand;2043
Moldova;2916
Greece;5341
Hungary;5181
Kuwait;
Kazakhstan;6749
Bahrain;55466
Croatia;6482
Iceland;128445
Uzbekistan;4482
Iraq;1513
Estonia;31822
Oman;
Azerbaijan;10135
New Zealand;18562
Armenia;4701
Lithuania;25990
Slovenia;20672
Bosnia and Herzegovina;5851
North Macedonia;5923
Slovakia;9053
Cameroon;
Cuba;2685
Afghanistan;165
Ghana;2207
Hong Kong;17579
Bulgaria;3802
Djibouti;9064
Tunisia;1463
Ivory Coast;
Cyprus;30712
Latvia;20132
Andorra;21653
Diamond Princess;
Guinea;
Lebanon;3139
Costa Rica;2235
Nigeria;39
Niger;195
Albania;2091
Burkina Faso;
Bolivia;306
Kyrgyzstan;4008
Uruguay;3856
Channel Islands;19095
Honduras;256
San Marino;53638
Palestine;3397
Malta;58080
Jordan;3234
Taiwan;2329
Senegal;28
Réunion;
Georgia;1908
DRC;
Mauritius;7670
Montenegro;8096
Mayotte;7331
Sri Lanka;317
Isle of Man;29506
Kenya;273
Guatemala;402
Somalia;
Venezuela;12211
Vietnam;2119
Mali;
Tanzania;
El Salvador;2059
Jamaica;638
Paraguay;771
Faeroe Islands;126292
Martinique;
Congo;
Rwanda;537
Guadeloupe;
Brunei;26591
Gibraltar;56751
Cambodia;345
Myanmar;96
Madagascar;85
Gabon;257
Trinidad and Tobago;986
Ethiopia;76
Sudan;
Liberia;
Aruba;13534
French Guiana;
Monaco;
Bermuda;10453
Togo;529
Equatorial Guinea;609
Maldives;7657
Liechtenstein;23605
Barbados;3699
Zambia;141
Cabo Verde;
Sint Maarten;3802
Guyana;417
Cayman Islands;11838
Bahamas;
Uganda;300
Haiti;54
French Polynesia;5393
Benin;
Libya;118
Guinea-Bissau;762
Sierra Leone;
Macao;
Nepal;1015
Syria;
Eritrea;
Mozambique;37
Saint Martin;
Mongolia;2074
Chad;
Eswatini;615
Zimbabwe;223
Angola;
Antigua and Barbuda;1103
Timor-Leste;244
Botswana;1885
Laos;185
Belize;1637
Malawi;22
Fiji;
New Caledonia;12441
Dominica;4793
Namibia;206
Saint Kitts and Nevis;4643
Saint Lucia;1982
Curaçao;1743
CAR;
Grenada;818
St. Vincent Grenadines;847
Turks and Caicos;2144
Falkland Islands;91667
Greenland;19394
Montserrat;7212
Seychelles;
Nicaragua;
Gambia;131
Suriname;
MS Zaandam;
Vatican City;
Mauritania;196
Papua New Guinea;68
Bhutan;11359
St. Barth;
Western Sahara;
British Virgin Islands;
Burundi;7
Caribbean Netherlands;4195
Sao Tome and Principe;87
South Sudan;
Anguilla;
Saint Pierre Miquelon;
Yemen;
Total:;
